date	value
8-Feb-10	194.12
5-Feb-10	195.46
4-Feb-10	192.05
3-Feb-10	199.23
2-Feb-10	195.86
1-Feb-10	194.73
29-Jan-10	192.06
28-Jan-10	199.29
27-Jan-10	207.88
26-Jan-10	205.94
25-Jan-10	203.08
22-Jan-10	197.75
21-Jan-10	208.07
20-Jan-10	211.72
19-Jan-10	215.04
18-Jan-10	205.93
15-Jan-10	205.93
14-Jan-10	209.43
13-Jan-10	210.65
12-Jan-10	207.72
11-Jan-10	210.11
8-Jan-10	211.98
7-Jan-10	210.58
6-Jan-10	210.97
5-Jan-10	214.38
4-Jan-10	214.01
1-Jan-10	210.73
31-Dec-09	210.73
30-Dec-09	211.64
29-Dec-09	209.10
28-Dec-09	211.61
25-Dec-09	209.04
24-Dec-09	209.04
23-Dec-09	202.10
22-Dec-09	200.36
21-Dec-09	198.23
18-Dec-09	195.43
17-Dec-09	191.86
16-Dec-09	195.03
15-Dec-09	194.17
14-Dec-09	196.98
11-Dec-09	194.67
10-Dec-09	196.43
9-Dec-09	197.80
8-Dec-09	189.87
7-Dec-09	188.95
4-Dec-09	193.32
3-Dec-09	196.48
2-Dec-09	196.23
1-Dec-09	196.97
30-Nov-09	199.91
27-Nov-09	200.59
26-Nov-09	204.19
25-Nov-09	204.19
24-Nov-09	204.44
23-Nov-09	205.88
20-Nov-09	199.92
19-Nov-09	200.51
18-Nov-09	205.96
17-Nov-09	207.00
16-Nov-09	206.63
13-Nov-09	204.45
12-Nov-09	201.99
11-Nov-09	203.25
10-Nov-09	202.98
9-Nov-09	201.46
6-Nov-09	194.34
5-Nov-09	194.03
4-Nov-09	190.81
3-Nov-09	188.75
2-Nov-09	189.31
30-Oct-09	188.50
29-Oct-09	196.35
28-Oct-09	192.40
27-Oct-09	197.37
26-Oct-09	202.48
23-Oct-09	203.94
22-Oct-09	205.20
21-Oct-09	204.92
20-Oct-09	198.76
19-Oct-09	189.86
16-Oct-09	188.05
15-Oct-09	190.56
14-Oct-09	191.29
13-Oct-09	190.02
12-Oct-09	190.81
9-Oct-09	190.47
8-Oct-09	189.27
7-Oct-09	190.25
6-Oct-09	190.01
5-Oct-09	186.02
2-Oct-09	184.90
1-Oct-09	180.86
30-Sep-09	185.35
29-Sep-09	185.38
28-Sep-09	186.15
25-Sep-09	182.37
24-Sep-09	183.82
23-Sep-09	185.50
22-Sep-09	184.48
21-Sep-09	184.02
18-Sep-09	185.02
17-Sep-09	184.55
16-Sep-09	181.87
15-Sep-09	175.16
14-Sep-09	173.72
11-Sep-09	172.16
10-Sep-09	172.56
9-Sep-09	171.14
8-Sep-09	172.93
4-Sep-09	170.31
3-Sep-09	166.55
2-Sep-09	165.18
1-Sep-09	165.30
31-Aug-09	168.21
28-Aug-09	170.05
27-Aug-09	169.45
26-Aug-09	167.41
25-Aug-09	169.40
24-Aug-09	169.06
21-Aug-09	169.22
20-Aug-09	166.33
19-Aug-09	164.60
18-Aug-09	164.00
17-Aug-09	159.59
14-Aug-09	166.78
13-Aug-09	168.42
12-Aug-09	165.31
10-Aug-09	164.72
7-Aug-09	165.51
6-Aug-09	163.91
5-Aug-09	165.11
4-Aug-09	165.55
3-Aug-09	166.43
31-Jul-09	163.39
30-Jul-09	162.79
29-Jul-09	160.03
28-Jul-09	160.00
27-Jul-09	160.10
24-Jul-09	159.99
23-Jul-09	157.82
22-Jul-09	156.74
21-Jul-09	151.51
20-Jul-09	152.91
17-Jul-09	151.75
16-Jul-09	147.52
15-Jul-09	146.88
14-Jul-09	142.27
13-Jul-09	142.34
10-Jul-09	138.52
9-Jul-09	136.36
8-Jul-09	137.22
7-Jul-09	135.40
6-Jul-09	138.61
3-Jul-09	140.02
2-Jul-09	140.02
1-Jul-09	142.83
30-Jun-09	142.43
29-Jun-09	141.97
26-Jun-09	142.44
25-Jun-09	139.86
24-Jun-09	136.22
23-Jun-09	134.01
22-Jun-09	137.37
19-Jun-09	139.48
18-Jun-09	135.88
17-Jun-09	135.58
16-Jun-09	136.35
15-Jun-09	136.09
12-Jun-09	136.97
11-Jun-09	139.95
10-Jun-09	140.25
9-Jun-09	142.72
8-Jun-09	143.85
5-Jun-09	144.67
4-Jun-09	143.74
3-Jun-09	140.95
2-Jun-09	139.49
1-Jun-09	139.35
29-May-09	135.81
28-May-09	135.07
27-May-09	133.05
26-May-09	130.78
22-May-09	122.50
21-May-09	124.18
20-May-09	125.87
19-May-09	127.45
18-May-09	126.65
15-May-09	122.42
14-May-09	122.95
13-May-09	119.49
12-May-09	124.42
11-May-09	129.57
8-May-09	129.19
7-May-09	129.06
6-May-09	132.50
5-May-09	132.71
4-May-09	132.07
1-May-09	127.24
30-Apr-09	125.83
29-Apr-09	125.14
28-Apr-09	123.90
27-Apr-09	124.73
24-Apr-09	123.90
23-Apr-09	125.40
22-Apr-09	121.51
21-Apr-09	121.76
20-Apr-09	120.50
17-Apr-09	123.42
16-Apr-09	121.45
15-Apr-09	117.64
14-Apr-09	118.31
13-Apr-09	120.22
10-Apr-09	119.57
9-Apr-09	119.57
8-Apr-09	116.32
7-Apr-09	115.00
6-Apr-09	118.45
3-Apr-09	115.99
2-Apr-09	112.71
1-Apr-09	108.69
31-Mar-09	105.12
30-Mar-09	104.49
27-Mar-09	106.85
26-Mar-09	109.87
25-Mar-09	106.49
24-Mar-09	106.50
23-Mar-09	107.66
20-Mar-09	101.59
19-Mar-09	101.62
18-Mar-09	101.52
17-Mar-09	99.66
16-Mar-09	95.42
13-Mar-09	95.93
12-Mar-09	96.35
11-Mar-09	92.68
10-Mar-09	88.63
9-Mar-09	83.11
6-Mar-09	85.30
5-Mar-09	88.84
4-Mar-09	91.17
3-Mar-09	88.37
2-Mar-09	87.94
27-Feb-09	89.31
26-Feb-09	89.19
25-Feb-09	91.16
24-Feb-09	90.25
23-Feb-09	86.95
20-Feb-09	91.20
19-Feb-09	90.64
18-Feb-09	94.37
17-Feb-09	94.53
13-Feb-09	99.16
12-Feb-09	99.27
11-Feb-09	96.82
10-Feb-09	97.83
9-Feb-09	102.51
6-Feb-09	99.72
5-Feb-09	96.46
4-Feb-09	93.55
3-Feb-09	92.98
2-Feb-09	91.51
30-Jan-09	90.13
29-Jan-09	93.00
28-Jan-09	94.20
27-Jan-09	90.73
26-Jan-09	89.64
23-Jan-09	88.36
22-Jan-09	88.36
21-Jan-09	82.83
20-Jan-09	78.20
16-Jan-09	82.33
15-Jan-09	83.38
14-Jan-09	85.33
13-Jan-09	87.71
12-Jan-09	88.66
9-Jan-09	90.58
8-Jan-09	92.70
7-Jan-09	91.01
6-Jan-09	93.02
5-Jan-09	94.58
2-Jan-09	90.75
1-Jan-09	85.35
31-Dec-08	85.35
30-Dec-08	86.29
29-Dec-08	86.61
26-Dec-08	85.81
25-Dec-08	85.04
24-Dec-08	85.04
23-Dec-08	86.38
22-Dec-08	85.74
19-Dec-08	90.00
18-Dec-08	89.43
17-Dec-08	89.16
16-Dec-08	95.43
15-Dec-08	94.75
12-Dec-08	98.27
11-Dec-08	95.00
10-Dec-08	98.21
9-Dec-08	100.06
8-Dec-08	99.72
5-Dec-08	94.00
4-Dec-08	91.41
3-Dec-08	95.90
2-Dec-08	92.47
1-Dec-08	88.93
28-Nov-08	92.67
27-Nov-08	95.00
26-Nov-08	95.00
25-Nov-08	90.80
24-Nov-08	92.95
21-Nov-08	82.58
20-Nov-08	80.49
19-Nov-08	86.29
18-Nov-08	89.91
17-Nov-08	88.14
14-Nov-08	90.24
13-Nov-08	96.44
12-Nov-08	90.12
11-Nov-08	94.77
10-Nov-08	95.88
7-Nov-08	98.24
6-Nov-08	99.10
5-Nov-08	103.30
4-Nov-08	110.99
3-Nov-08	106.96
31-Oct-08	107.59
30-Oct-08	111.04
29-Oct-08	104.55
28-Oct-08	99.91
27-Oct-08	92.09
24-Oct-08	96.38
23-Oct-08	98.23
22-Oct-08	96.87
21-Oct-08	91.49
20-Oct-08	98.44
17-Oct-08	97.40
16-Oct-08	101.89
15-Oct-08	97.95
14-Oct-08	104.08
13-Oct-08	110.26
10-Oct-08	96.80
9-Oct-08	88.74
8-Oct-08	89.79
7-Oct-08	89.16
6-Oct-08	98.14
3-Oct-08	97.07
2-Oct-08	100.10
1-Oct-08	109.12
30-Sep-08	113.66
29-Sep-08	105.26
26-Sep-08	128.24
25-Sep-08	131.93
24-Sep-08	128.71
23-Sep-08	126.84
22-Sep-08	131.05
19-Sep-08	140.91
18-Sep-08	134.09
17-Sep-08	127.83
16-Sep-08	139.88
15-Sep-08	140.36
12-Sep-08	148.94
11-Sep-08	152.65
10-Sep-08	151.61
9-Sep-08	151.68
8-Sep-08	157.92
5-Sep-08	160.18
4-Sep-08	161.22
3-Sep-08	166.96
2-Sep-08	166.19
29-Aug-08	169.53
28-Aug-08	173.74
27-Aug-08	174.67
26-Aug-08	173.64
25-Aug-08	172.55
22-Aug-08	176.79
21-Aug-08	174.29
20-Aug-08	175.84
19-Aug-08	173.53
18-Aug-08	175.39
15-Aug-08	175.74
14-Aug-08	179.32
13-Aug-08	179.30
12-Aug-08	176.73
11-Aug-08	173.56
8-Aug-08	169.55
7-Aug-08	163.57
6-Aug-08	164.19
5-Aug-08	160.64
4-Aug-08	153.23
1-Aug-08	156.66
31-Jul-08	158.95
30-Jul-08	159.88
29-Jul-08	157.08
28-Jul-08	154.40
25-Jul-08	162.12
24-Jul-08	159.03
23-Jul-08	166.26
22-Jul-08	162.02
21-Jul-08	166.29
18-Jul-08	165.15
17-Jul-08	171.81
16-Jul-08	172.81
15-Jul-08	169.64
14-Jul-08	173.88
11-Jul-08	172.58
10-Jul-08	176.63
9-Jul-08	174.25
8-Jul-08	179.55
7-Jul-08	175.16
3-Jul-08	170.12
2-Jul-08	168.18
1-Jul-08	174.68
30-Jun-08	167.44
27-Jun-08	170.09
26-Jun-08	168.26
25-Jun-08	177.39
24-Jun-08	173.25
23-Jun-08	173.16
20-Jun-08	175.27
19-Jun-08	180.90
18-Jun-08	178.75
17-Jun-08	181.43
16-Jun-08	176.84
13-Jun-08	172.37
12-Jun-08	173.26
11-Jun-08	180.81
10-Jun-08	185.64
9-Jun-08	181.61
6-Jun-08	185.64
5-Jun-08	189.43
4-Jun-08	185.19
3-Jun-08	185.37
2-Jun-08	186.10
30-May-08	188.75
29-May-08	186.69
28-May-08	187.01
27-May-08	186.43
23-May-08	181.17
22-May-08	177.05
21-May-08	178.19
20-May-08	185.90
19-May-08	183.60
16-May-08	187.62
15-May-08	189.73
14-May-08	186.26
13-May-08	189.96
12-May-08	188.16
9-May-08	183.45
8-May-08	185.06
7-May-08	182.59
6-May-08	186.66
5-May-08	184.73
2-May-08	180.94
1-May-08	180.00
30-Apr-08	173.95
29-Apr-08	175.05
28-Apr-08	172.24
25-Apr-08	169.73
24-Apr-08	168.94
23-Apr-08	162.89
22-Apr-08	160.20
21-Apr-08	168.16
18-Apr-08	161.04
17-Apr-08	154.49
16-Apr-08	153.70
15-Apr-08	148.38
14-Apr-08	147.78
11-Apr-08	147.14
10-Apr-08	154.55
9-Apr-08	151.44
8-Apr-08	152.84
7-Apr-08	155.89
4-Apr-08	153.08
3-Apr-08	151.61
2-Apr-08	147.49
1-Apr-08	149.53
31-Mar-08	143.50
28-Mar-08	143.01
27-Mar-08	140.25
26-Mar-08	145.06
25-Mar-08	140.98
24-Mar-08	139.53
20-Mar-08	133.27
19-Mar-08	129.67
18-Mar-08	132.82
17-Mar-08	126.73
14-Mar-08	126.61
13-Mar-08	127.94
12-Mar-08	126.03
11-Mar-08	127.35
10-Mar-08	119.69
7-Mar-08	122.25
6-Mar-08	120.93
5-Mar-08	124.49
4-Mar-08	124.62
3-Mar-08	121.73
29-Feb-08	125.02
28-Feb-08	129.91
27-Feb-08	122.96
26-Feb-08	119.15
25-Feb-08	119.74
22-Feb-08	119.46
21-Feb-08	121.54
20-Feb-08	123.82
19-Feb-08	122.18
15-Feb-08	124.63
14-Feb-08	127.46
13-Feb-08	129.40
12-Feb-08	124.86
11-Feb-08	129.45
8-Feb-08	125.48
7-Feb-08	121.24
6-Feb-08	122.00
5-Feb-08	129.36
4-Feb-08	131.65
1-Feb-08	133.75
31-Jan-08	135.36
30-Jan-08	132.18
29-Jan-08	131.54
28-Jan-08	130.01
25-Jan-08	130.01
24-Jan-08	135.60
23-Jan-08	139.07
22-Jan-08	155.64
18-Jan-08	161.36
17-Jan-08	160.89
16-Jan-08	159.64
15-Jan-08	169.04
14-Jan-08	178.78
11-Jan-08	172.69
10-Jan-08	178.02
9-Jan-08	179.40
8-Jan-08	171.25
7-Jan-08	177.64
4-Jan-08	180.05
3-Jan-08	194.93
2-Jan-08	194.84
31-Dec-07	198.08
28-Dec-07	199.83
27-Dec-07	198.57
26-Dec-07	198.95
24-Dec-07	198.80
21-Dec-07	193.91
20-Dec-07	187.21
19-Dec-07	183.12
18-Dec-07	182.98
17-Dec-07	184.40
14-Dec-07	190.39
13-Dec-07	191.83
12-Dec-07	190.86
11-Dec-07	188.54
10-Dec-07	194.21
7-Dec-07	194.30
6-Dec-07	189.95
5-Dec-07	185.50
4-Dec-07	179.81
3-Dec-07	178.86
30-Nov-07	182.22
29-Nov-07	184.29
28-Nov-07	180.22
27-Nov-07	174.81
26-Nov-07	172.54
23-Nov-07	171.54
21-Nov-07	168.46
20-Nov-07	168.85
19-Nov-07	163.95
16-Nov-07	166.39
15-Nov-07	164.30
14-Nov-07	166.11
13-Nov-07	169.96
12-Nov-07	153.76
9-Nov-07	165.37
8-Nov-07	175.47
7-Nov-07	186.30
6-Nov-07	191.79
5-Nov-07	186.18
2-Nov-07	187.87
1-Nov-07	187.44
31-Oct-07	189.95
30-Oct-07	187.00
29-Oct-07	185.09
26-Oct-07	184.70
25-Oct-07	182.78
24-Oct-07	185.93
23-Oct-07	186.16
22-Oct-07	174.36
19-Oct-07	170.42
18-Oct-07	173.50
17-Oct-07	172.75
16-Oct-07	169.58
15-Oct-07	166.98
12-Oct-07	167.25
11-Oct-07	162.23
10-Oct-07	166.79
9-Oct-07	167.86
8-Oct-07	167.91
5-Oct-07	161.45
4-Oct-07	156.24
3-Oct-07	157.92
2-Oct-07	158.45
1-Oct-07	156.34
28-Sep-07	153.47
27-Sep-07	154.50
26-Sep-07	152.77
25-Sep-07	153.18
24-Sep-07	148.28
21-Sep-07	144.15
20-Sep-07	140.31
19-Sep-07	140.77
18-Sep-07	140.92
17-Sep-07	138.41
14-Sep-07	138.81
